Name/Inception Date,Asset Class,Category,Plan-specific option,Daily,MTD,YTD,Returns As Of,1 Month,3 Months,Returns As Of,Bench- mark
FID FDM IDX 2040 PRM (FPIPX)10/02/2009,Blended Investment*,N/A,Yes,0.67%,-4.02%,10.98%,08/28/2023,2.96%,6.88%,07/31/2023,Show
FID FDM IDX 2045 PRM (FQIPX)10/02/2009,Blended Investment*,N/A,Yes,0.69%,-4.16%,11.26%,08/28/2023,3.11%,7.21%,07/31/2023,Show
FID FDM IDX 2050 PRM (FRLPX)10/02/2009,Blended Investment*,N/A,Yes,0.69%,-4.15%,11.29%,08/28/2023,3.11%,7.25%,07/31/2023,Show
FID FDM IDX 2055 PRM (FTYPX)06/01/2011,Blended Investment*,N/A,Yes,0.73%,-4.14%,11.32%,08/28/2023,3.12%,7.21%,07/31/2023,Show
FID FDM IDX 2060 PRM (FUIPX)08/05/2014,Blended Investment*,N/A,Yes,0.66%,-4.14%,11.31%,08/28/2023,3.10%,7.22%,07/31/2023,Show
FID FDM IDX 2065 PRM (FVIPX)06/28/2019,Blended Investment*,N/A,Yes,0.73%,-4.11%,11.38%,08/28/2023,3.12%,7.26%,07/31/2023,Show
FID FDM IDX INC PRM (FAPIX)10/02/2009,Blended Investment*,N/A,Yes,0.27%,-1.60%,3.46%,08/28/2023,0.70%,0.89%,07/31/2023,Show
MIP CL 209/07/1989 7 day yield as of07/31/2023 1.79%,Bond Investments,Stable Value,Yes,0.01%,0.13%,1.13%,08/28/2023,0.15%,0.44%,07/31/2023,Show
FID US BOND IDX (FXNAX)03/08/1990,Bond Investments,Income,No,0.22%,-1.34%,0.80%,08/28/2023,-0.04%,-1.48%,07/31/2023,Show
PGIM GLB TOT RTN R6 (PGTQX)07/07/1986,Bond Investments,Income,Yes,0.21%,-1.80%,3.03%,08/28/2023,1.33%,1.07%,07/31/2023,Show
PIM TOTAL RT INST (PTTRX)05/11/1987,Bond Investments,Income,Yes,0.25%,-1.33%,1.21%,08/28/2023,0.31%,-1.01%,07/31/2023,Show
